resp,mod,modlvl,est
bio,cc_type2,modgrass,-1.0262285249163616
bio,cc_type2,modnon-grass,-0.12327668931721351
bio,cc_type2,modgrass,-1.5872138668436908
bio,cc_type2,modnon-grass,-0.22675861094651906
bio,cc_type2,modgrass,-1.105711817347234
bio,cc_type2,modnon-grass,-0.4029986089579136
bio,cc_type2,modgrass,-0.883600802279219
bio,cc_type2,modnon-grass,-0.05318674334292532
bio,cc_type2,modgrass,-1.053217659419674
bio,cc_type2,modnon-grass,-0.09693750165093004
bio,cc_type2,modgrass,-1.1435182918670759
bio,cc_type2,modnon-grass,-0.20322378665570956
bio,cc_type2,modgrass,-0.921053003790455
bio,cc_type2,modnon-grass,-0.07901634097463721
bio,cc_type2,modgrass,-0.9995453483223121
bio,cc_type2,modnon-grass,-0.030245423188815974
bio,cc_type2,modgrass,-0.8994710023316776
bio,cc_type2,modnon-grass,-0.06239459091673852
bio,cc_type2,modgrass,-0.9981341345221152
bio,cc_type2,modnon-grass,0.013222000401542856
bio,cc_type2,modgrass,-1.2803044585109764
bio,cc_type2,modnon-grass,0.3512960360696855
bio,cc_type2,modgrass,-1.0438396415795765
bio,cc_type2,modnon-grass,-0.07709949132192193
bio,cc_type2,modgrass,-0.8728957967721496
bio,cc_type2,modnon-grass,0.13648944632641213
bio,cc_type2,modgrass,-0.9546243954189997
bio,cc_type2,modnon-grass,-0.2089309893446466
bio,cc_type2,modgrass,-1.598463297026116
bio,cc_type2,modnon-grass,-0.21122281734000437
bio,cc_type2,modgrass,-0.9366880217714435
bio,cc_type2,modnon-grass,-0.2654017294736602
bio,cc_type2,modgrass,-1.2493060434335446
bio,cc_type2,modnon-grass,-0.31361371563821594
bio,cc_type2,modgrass,-0.7701503259928378
bio,cc_type2,modnon-grass,-0.43586863069315246
bio,cc_type2,modgrass,-1.3817269371242862
bio,cc_type2,modnon-grass,-0.4021637591075774
bio,cc_type2,modgrass,-1.6333722011722795
bio,cc_type2,modnon-grass,-0.6337586642355316
bio,cc_type2,modgrass,-0.8216086299656962
bio,cc_type2,modnon-grass,-0.06988773849381866
bio,cc_type2,modgrass,-1.263660052563269
bio,cc_type2,modnon-grass,-0.8117324926314196
bio,cc_type2,modgrass,-1.168361484461923
bio,cc_type2,modnon-grass,-0.4182256543968428
bio,cc_type2,modgrass,-0.6924232352787442
bio,cc_type2,modnon-grass,-0.25852720204746005
bio,cc_type2,modgrass,-1.4603360085588224
bio,cc_type2,modnon-grass,-0.33537657493023243
bio,cc_type2,modgrass,-1.0639189495166539
bio,cc_type2,modnon-grass,-0.23483345047869827
bio,cc_type2,modgrass,-0.8793884232247308
bio,cc_type2,modnon-grass,-0.13386296924542884
bio,cc_type2,modgrass,-1.359434000776668
bio,cc_type2,modnon-grass,-0.29259858761406304
bio,cc_type2,modgrass,-0.9195681943130484
bio,cc_type2,modnon-grass,-0.5315027185386266
bio,cc_type2,modgrass,-1.159873569321545
bio,cc_type2,modnon-grass,-0.1841482781645319
bio,cc_type2,modgrass,-1.2725555323927098
bio,cc_type2,modnon-grass,-0.40407477541030307
bio,cc_type2,modgrass,-1.3131934661908293
bio,cc_type2,modnon-grass,0.03173640965996655
bio,cc_type2,modgrass,-1.5736859470545979
bio,cc_type2,modnon-grass,-0.4160146523666266
bio,cc_type2,modgrass,-1.0814315938206926
bio,cc_type2,modnon-grass,-0.15498772571267083
bio,cc_type2,modgrass,-1.3267556215205734
bio,cc_type2,modnon-grass,-0.2035348504774798
bio,cc_type2,modgrass,-1.2760880410773665
bio,cc_type2,modnon-grass,-0.1084794139366164
bio,cc_type2,modgrass,-1.533753885863975
bio,cc_type2,modnon-grass,-0.38395885677256525
bio,cc_type2,modgrass,-0.9768992793719674
bio,cc_type2,modnon-grass,0.11733463608088894
bio,cc_type2,modgrass,-1.539715300246296
bio,cc_type2,modnon-grass,-0.598657862043837
bio,cc_type2,modgrass,-1.1736558038323992
bio,cc_type2,modnon-grass,-0.24078782108382413
bio,cc_type2,modgrass,-1.2396138446410827
bio,cc_type2,modnon-grass,-0.18549505552378576
bio,cc_type2,modgrass,-1.9300849481869438
bio,cc_type2,modnon-grass,-0.23346493058818665
bio,cc_type2,modgrass,-1.118418889577903
bio,cc_type2,modnon-grass,0.031603713632125933
bio,cc_type2,modgrass,-1.6200478426326643
bio,cc_type2,modnon-grass,-0.3418735046949357
bio,cc_type2,modgrass,-1.466687243924489
bio,cc_type2,modnon-grass,-0.5874533669626503
bio,cc_type2,modgrass,-1.1498263630808072
bio,cc_type2,modnon-grass,-0.3998918478548563
bio,cc_type2,modgrass,-1.2470362777382378
bio,cc_type2,modnon-grass,-0.49224780515155464
bio,cc_type2,modgrass,-0.9912160955200926
bio,cc_type2,modnon-grass,0.07630504281506637
bio,cc_type2,modgrass,-1.201446172336418
bio,cc_type2,modnon-grass,-0.1344769029322058
bio,cc_type2,modgrass,-1.384953705225058
bio,cc_type2,modnon-grass,-0.3925939674427767
bio,cc_type2,modgrass,-0.6981723312004269
bio,cc_type2,modnon-grass,-0.04917385213733965
bio,cc_type2,modgrass,-1.0896341911228236
bio,cc_type2,modnon-grass,0.029340505440112793
bio,cc_type2,modgrass,-1.528557870547378
bio,cc_type2,modnon-grass,-0.4438678473290708
bio,cc_type2,modgrass,-1.5077393938869745
bio,cc_type2,modnon-grass,-0.6993995504713969
bio,cc_type2,modgrass,-1.355594411867216
bio,cc_type2,modnon-grass,-0.10516188209587213
bio,cc_type2,modgrass,-1.0631101685297746
bio,cc_type2,modnon-grass,0.0031511983196955374
bio,cc_type2,modgrass,-0.7080834348316662
bio,cc_type2,modnon-grass,-0.17526320916846452
bio,cc_type2,modgrass,-1.7196245621534778
bio,cc_type2,modnon-grass,-0.23663655220169905
